74752 40 28
74752 50 28
74752 60 21
71636 10 1
71636 20 5
71636 30 16
71636 40 29
71636 50 28
71636 60 21
74769 10 1
74769 20 5
74769 30 17
74769 40 30
74769 50 31
74769 60 16
27910 10 1
27910 20 4
27910 30 15
27910 40 33
27910 50 29
27910 60 19
56746 10 1
56746 20 4
56746 30 16
56746 40 29
56746 50 29
56746 60 21
27421 10 1
27421 20 7
27421 30 17
27421 40 32
27421 50 25
27421 60 19
56793 10 0
56793 20 5
56793 30 13
56793 40 26
56793 50 30
56793 60 25
27643 10 1
27643 20 7
27643 30 15
27643 40 29
27643 50 32
27643 60 15
27562 10 1
27562 20 8
27562 30 17
27562 40 27
27562 50 28
27562 60 19
76919 10 0
76919 20 0
76919 30 0
76919 40 0
76919 50 0
76919 60 0
56627 10 2
56627 20 11
56627 30 21
56627 40 24
56627 50 24
56627 60 18
56745 10 1
56745 20 5
56745 30 15
56745 40 30
56745 50 30
56745 60 19
76922 10 1
76922 20 10
76922 30 18
76922 40 20
76922 50 24
76922 60 26
74218 10 1
74218 20 9
74218 30 19
74218 40 28
74218 50 22
74218 60 20
27841 10 1
27841 20 3
27841 30 24
27841 40 24
27841 50 30
27841 60 17
27599 10 2
27599 20 8
27599 30 19
27599 40 25
27599 50 27
27599 60 19
74781 10 0
74781 20 5
74781 30 16
74781 40 25
74781 50 25
74781 60 28
56802 10 1
56802 20 4
56802 30 15
56802 40 33
56802 50 25
56802 60 23
73101 10 0
73101 20 6
73101 30 17
73101 40 31
